Roll No.,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
153,Modesta,42,78,62,47,89,52
154,Gregg,66,61,35,84,44,61
155,Sharai,64,71,80,83,37,58
156,Alfredo,53,90,55,99,30,34
157,Etta,87,47,62,80,33,41
158,Derrick,89,88,49,33,71,76
159,Gustavo,63,74,72,30,88,36
160,Anselma,33,38,64,75,85,81
161,Noelle,50,46,60,28,91,38
162,Phaedra,50,42,40,86,45,39
163,Ephrem,44,93,55,47,59,53
164,Iolande,40,51,55,97,82,52
165,Orel,88,80,88,43,97,32
166,Bette-Ann,42,85,74,58,70,32
167,Vivyan,61,82,78,89,64,68
168,Christel,62,98,73,65,74,63
169,Corilla,33,67,100,92,82,33
170,Jaquelyn,60,82,35,89,28,53
171,Becki,60,61,95,51,67,90
172,Herrmann,80,62,41,91,83,43
173,Bill,64,45,67,62,30,82
174,Lenka,75,34,27,74,81,76
175,Noam,54,35,97,58,99,52
176,Kordula,57,78,47,68,49,72
177,Nadine,87,58,49,58,40,95
178,Elfie,60,97,50,80,91,50
179,Marti,77,78,90,96,60,73
180,Charmaine,67,65,46,91,56,29
181,Bellina,27,29,75,41,68,73
182,Marci,27,48,47,32,97,40
183,Dara,62,96,45,28,70,87
184,Marti,73,82,78,30,56,94
185,Morry,100,95,67,45,39,73
186,Morna,91,98,44,31,67,85
187,Son,54,83,39,59,50,89
188,Beatriz,88,95,88,35,36,45
189,Hart,76,32,97,100,66,92
190,Roxanna,78,94,28,98,76,33
191,Artur,29,100,35,40,83,47
192,Yale,80,75,68,47,46,62
193,Andrea,86,98,72,61,64,33
194,Peri,27,84,47,81,58,78
195,Annabell,80,86,44,29,69,42
196,Doris,30,86,64,100,65,83
197,Madelin,96,86,92,98,54,65
198,Deva,87,37,89,89,45,75
199,Robinetta,83,79,39,69,35,63
200,Emelia,75,55,53,70,83,35
201,Cole,78,30,74,88,51,96
202,Lindy,86,63,74,46,97,42
203,Stacey,56,33,80,76,93,46
204,Nell,51,27,58,75,89,42
205,Karl,79,95,28,81,30,30
206,Avie,61,49,61,27,62,43
207,Morton,27,49,96,96,36,64
208,Spiros,28,27,37,55,79,32
209,Konstantin,58,57,93,89,34,52
210,Yancy,42,83,66,77,90,78
211,Kourtney,34,76,84,86,64,30
212,Barb,39,92,33,53,65,56
213,Gillie,43,87,98,31,88,50
214,Janela,30,40,90,43,64,94
215,Hedi,81,31,67,44,74,68
216,Mendel,94,34,49,58,72,78
217,Virgie,53,88,75,49,31,90
218,Karia,44,46,60,100,64,37
219,Avery,59,54,75,52,83,60
220,Paulette,89,99,33,50,37,31
221,Zandra,65,100,88,75,34,75
222,Atalanta,56,88,79,84,53,70
223,Darcy,86,29,38,76,57,69
224,Eileen,53,28,64,52,49,95
225,Cortney,48,96,79,51,50,94
226,Kristine,59,50,92,58,86,41
227,Dorene,99,41,75,82,81,59
228,Kipp,89,79,47,73,32,77
229,Laurie,43,89,62,49,57,80
230,Ronny,60,87,30,62,91,90
231,Dalton,60,91,38,100,31,59
232,Tucky,30,49,71,66,31,54
233,Jacynth,64,80,56,56,66,72
234,Wyn,58,78,87,50,47,65
235,Maureen,47,85,65,90,40,71
236,Shumeet,58,79,56,27,68,33
237,Marti,36,99,45,55,52,41
238,Ruby,56,76,65,58,99,71
239,Edsel,67,49,69,99,29,60
240,Sonnie,35,89,58,27,35,36
241,Jorry,94,68,81,68,94,89
242,Melisse,100,77,92,85,69,69
243,Maryann,32,98,99,78,65,70
244,Erik,67,89,94,64,32,33
245,Lenny,54,30,85,45,60,58
246,Rina,33,49,37,44,61,86
247,Purcell,76,96,45,38,39,45
248,Emyle,100,76,54,89,94,27
249,Damien,70,54,81,43,86,87
250,Romola,58,53,92,100,76,79
251,Alanah,50,70,42,39,77,54
252,Maryellen,76,55,32,93,57,100
253,Eugine,56,89,62,94,75,30
254,Melva,84,60,63,69,90,44
255,Lydie,94,32,97,41,86,79
256,Modestia,79,96,30,76,81,89
257,Ashish,31,79,39,54,80,54
258,Nanette,49,30,71,76,45,66
259,Abraham,67,75,33,70,83,54
260,Tamma,50,59,56,65,81,62
261,Jackie,39,47,39,47,41,28
262,Mela,70,64,66,73,33,66
263,Kakalina,60,71,81,64,91,39
264,Terza,51,85,98,71,78,64
265,Chalmers,67,33,52,41,71,39
266,Les,65,65,94,95,60,92
267,Lisa,85,59,84,58,82,45
268,Aurelea,70,28,97,95,50,80
269,Frazier,59,38,84,36,61,76
270,Alwin,54,45,89,28,78,84
271,Leorah,77,36,96,95,42,83
272,Verge,80,67,60,89,64,61
273,Todd,66,85,41,62,62,46
274,Quigly,95,74,30,63,50,72
275,Edwin,87,29,96,57,48,47
276,Dara,30,71,72,47,87,43
277,Allianora,66,41,90,86,37,37
278,Sherye,59,92,45,40,52,57
279,Jens,99,82,33,29,61,92
280,Niles,81,54,30,69,33,77
281,Alys,69,68,65,99,40,36
282,Leonore,51,37,86,87,99,32
283,Eada,57,31,70,50,35,75
284,Lucius,36,52,39,69,73,64
285,Baird,38,41,79,43,79,65
286,Marlee,100,95,58,51,56,53
287,Opaline,77,92,79,98,95,53
288,Lilah,64,33,99,65,46,32
289,Durand,88,59,65,94,92,30
290,Eartha,62,68,49,93,31,97
291,Blair,60,63,34,63,76,84
292,Cher,80,81,74,44,31,49
293,Elbert,30,57,49,31,98,92
294,Tudor,61,31,33,40,71,36
295,Vere,44,86,92,95,62,92
296,Louisette,50,98,36,37,38,58
297,Isaak,39,40,28,74,37,61
298,Beryle,54,100,92,33,76,60
299,Leroy,49,59,46,43,85,77
300,Lorene,89,79,49,38,71,57
301,Thibaut,68,54,97,54,41,40
302,Ericka,87,60,97,40,70,93
303,Lurlene,49,70,67,53,80,64
304,Cori,50,78,70,29,27,58
305,Gretchen,74,34,81,96,96,40
306,Donny,32,94,93,37,97,71
307,Sosanna,31,33,30,44,46,32
308,Vic,37,94,49,31,29,95
309,Herold,97,70,29,95,91,50
310,Waylon,69,65,37,56,84,47
311,Gardiner,75,73,80,47,57,84
312,Nerta,49,91,46,51,32,52
313,Elton,58,39,33,78,80,90
314,Laural,63,98,84,86,88,32
315,Brandie,42,62,35,45,97,88
316,Reggi,34,59,96,49,64,80
317,Kippie,47,97,66,45,81,58
318,Kalman,34,49,43,80,54,28
319,Pacifica,28,42,43,80,93,67
320,Jocelyn,61,40,80,83,95,80
321,Jackie,27,71,89,100,35,41
322,Morgan,59,46,54,43,40,67
323,Beitris,47,34,43,51,80,62
324,Patric,77,30,68,93,46,50
325,Darbie,95,63,29,57,84,62
326,Flower,43,79,46,27,98,60
327,Peyton,29,90,57,29,54,50
328,Odysseus,90,73,64,39,98,27
329,Sharron,71,81,65,83,61,27
330,Myrtle,28,96,72,58,45,45
331,Godart,57,61,34,77,71,28
332,Ruthanne,81,52,67,91,27,69
333,Heidie,97,53,100,58,87,76
334,Annamaria,81,72,42,46,55,76
335,Allyn,68,83,45,96,69,40
336,Kitti,27,65,68,97,70,73
337,Dorian,62,29,38,73,41,37
338,Clint,46,85,57,54,99,89
339,Marilee,94,65,42,28,65,46
340,Laurent,87,41,34,33,62,82
341,Virge,51,57,85,49,90,43
342,Cassie,69,66,70,35,74,86
343,Lauren,52,73,80,75,45,55
344,Emmalee,42,34,55,45,37,27
345,Emmie,84,96,51,84,50,46
346,Weidar,32,73,38,96,89,95
347,Violet,59,96,74,79,34,43
348,Flem,81,58,58,50,33,85
349,Monty,60,91,50,51,38,76
350,Berti,83,35,52,47,61,47
351,Julianne,78,78,56,69,76,31
352,Aina,70,93,80,89,49,69
353,Tabby,85,89,36,67,32,79
354,Yelena,30,97,90,75,30,48
355,Hannah,43,66,39,88,98,86
356,Carlyn,75,99,71,72,82,33
357,Myrtice,75,49,98,77,92,86
358,Gwenora,30,78,32,91,82,70
359,Jerrie,53,98,66,84,78,30
360,Gera,76,47,54,39,57,28
361,Mora,86,59,73,96,57,47
362,Eugenia,50,32,66,65,48,66
363,Danielle,48,40,99,65,54,33
364,Gerri,75,80,43,65,80,54
365,Donnie,79,61,60,73,93,36
366,Dwaine,78,60,37,54,94,83
367,Jodi,42,53,33,73,72,82
368,Nanny,50,100,35,46,39,91
369,Sib,84,79,53,35,77,36
370,Analise,87,80,66,79,40,38
371,Antoni,96,38,76,97,67,62
372,Paige,94,48,51,32,44,40
373,Randolph,35,78,93,81,95,57
374,Ambrosio,45,97,51,28,56,54
375,Sharleen,84,43,56,91,82,36
376,Rosemarie,40,80,33,93,43,77
377,Emyle,35,94,68,61,95,29
378,Bellina,63,63,44,69,68,30
379,Cloris,86,40,67,67,78,85
380,Suzie,38,82,51,77,72,44
381,Sullivan,78,62,75,72,63,94
382,Stacy,72,43,69,46,41,57
383,Dulcy,63,56,61,41,51,70
384,Jordy,60,45,33,44,37,47
385,Holly,43,94,29,28,39,60
386,Jayme,68,98,34,89,66,83
387,Andriana,29,34,39,76,37,81
388,Minna,86,30,78,47,30,96
389,Burgess,70,90,44,36,37,55
390,Sky,43,77,56,79,79,34
391,Penn,30,54,80,61,48,37
392,Shelley,37,70,99,66,60,61
393,Trevor,35,50,53,93,95,69
394,Vince,56,93,29,53,53,81
395,Martina,39,46,62,68,30,94
396,Elbertina,63,50,43,99,65,62
397,Teodora,53,59,50,30,33,55
398,Devon,28,67,35,48,52,52
399,Yancey,32,29,31,91,47,37
400,Anja,91,58,78,66,98,44
401,Natala,56,45,91,57,52,64
402,Dore,88,71,95,81,57,29
403,Rodolfo,60,72,85,55,98,58
404,Michele,93,85,84,75,35,31
405,Alejandro,68,78,54,32,79,68
406,Melantha,97,33,36,77,73,78
407,Irwin,72,67,55,42,69,66
408,Remus,65,63,94,55,78,98
409,Barclay,28,56,87,45,96,97
410,Jess,37,48,96,66,63,98
411,Maryellen,76,49,90,74,35,54
412,Mateo,45,95,42,73,78,61
413,Herrick,71,90,74,47,75,57
414,Karen,71,77,71,91,35,90
415,Delia,56,93,59,65,71,87
416,Creighton,93,88,77,55,51,46
417,Tomkin,73,90,78,50,43,48
418,Cassi,53,51,45,39,27,38
419,Dominique,92,100,91,96,100,68
420,Sharleen,98,67,95,30,32,61
421,Annalisa,78,37,64,27,44,27
422,Blinni,81,41,97,50,34,77
423,Elysia,71,67,85,100,95,38
424,Harman,65,70,29,94,35,51
425,Oran,32,66,45,77,33,85
426,Casie,60,82,68,100,48,31
427,Nilson,83,27,64,99,44,61
428,Caresse,87,35,85,53,72,93
429,Arlinda,81,27,38,85,30,55
430,Myrtle,77,39,62,47,61,85
431,Luigi,94,73,71,83,92,75
432,Madlen,92,40,87,67,64,91
433,Averil,90,39,51,42,78,98
434,Francois,65,52,72,63,84,52
435,Starlin,38,72,69,37,61,45
436,Rochette,100,78,78,73,96,54
437,Katerina,41,80,94,98,91,38
438,Rosemary,68,33,29,30,29,32
439,Paolina,60,42,76,35,77,58
440,Marchelle,73,58,78,84,96,74
441,Jilleen,51,98,29,56,65,77
442,Gussy,84,75,88,54,36,44
443,Ramon,76,69,93,71,80,94
444,Suzzy,31,62,89,93,38,89
445,Zilvia,90,39,96,50,40,60
446,Michael,67,45,55,42,60,62
447,Karel,84,74,73,52,37,50
448,Rich,52,83,31,37,43,28
449,Alica,33,49,72,39,54,90
450,Daisey,33,51,48,42,63,43
451,Adelice,56,35,75,28,29,65
452,Jean,77,97,94,42,94,76
453,Helsa,61,60,73,43,64,29
454,Preston,94,76,54,83,65,33
455,Yoko,60,68,76,44,96,94
456,Terence,86,49,84,69,51,56
457,Greg,49,32,64,56,45,79
458,Pinchas,44,35,100,47,41,75
459,Anica,70,50,67,28,52,47
460,Ainslee,46,98,86,51,98,70
461,Valry,81,55,71,83,99,76
462,Fanechka,55,84,91,83,52,36
463,Orlando,73,92,87,31,40,64
464,Astra,59,89,45,98,50,88
465,Kristin,96,63,40,28,56,63
466,Eddie,61,70,74,27,98,90
467,Skippie,83,53,64,35,88,54
468,Annamari,89,97,84,55,39,82
469,Conrad,66,31,51,62,79,65
470,Rosemarie,92,47,60,36,44,70
471,Kim,98,70,37,85,38,97
472,Cyril,86,35,41,28,66,97
473,Barron,52,28,53,47,83,42
474,Mace,69,77,50,56,30,80
475,Bartholomew,78,79,64,79,72,33
476,Ajay,62,78,86,49,64,34
477,Alyse,81,70,89,83,90,65
478,Ermina,40,98,39,37,38,42
479,Charlotta,80,90,76,88,29,55
480,Lemmy,58,64,100,45,57,40
481,Cathy,64,82,44,96,35,43
482,Ingeberg,35,57,82,84,63,47
483,Melina,99,66,78,75,60,55
484,Torrie,36,80,64,57,30,94
485,Sylvia,59,80,68,81,92,75
486,Michaeline,53,55,78,83,31,36
487,Flo,41,78,61,55,72,55
488,Rickie,42,32,59,97,50,42
489,Joell,64,89,35,99,45,51
490,Tessi,67,52,46,34,78,31
491,Alphonso,82,29,76,64,27,86
492,Faustine,28,42,71,59,66,36
493,Rowena,70,47,58,50,93,49
494,Pia,28,97,63,49,79,73
495,Caterina,31,37,64,86,95,82
496,Henrie,48,76,53,54,61,45
497,Barthel,29,67,87,100,59,51
498,Cobb,85,89,36,51,73,67
499,Petronia,49,86,33,71,85,52
500,Nero,73,33,31,32,98,30
501,Batsheva,38,74,96,97,75,36
502,Reta,74,69,96,96,43,48
503,Karil,35,63,70,27,69,75
504,Nanci,44,47,73,73,59,76
505,Abdul,96,74,88,94,92,60
506,Benedikta,28,28,34,49,95,66
507,Horst,41,41,98,61,40,92
508,Gwen,59,36,99,69,60,55
509,Torry,67,63,66,41,96,56
510,Gratiana,90,80,49,59,82,60
511,Deana,61,39,40,32,41,71
512,Hewe,38,40,69,88,57,54
513,Cynthea,61,44,37,34,44,64
514,Renata,78,98,86,73,95,38
515,Cristy,55,90,49,52,78,42
516,Saunders,43,31,60,51,73,56
517,Leif,83,93,75,88,87,55
518,Sibbie,95,41,73,60,94,49
519,Heddie,49,96,65,98,53,69
520,Lacy,33,54,78,61,83,27
521,Ethelda,53,62,49,34,50,80
522,Alfonso,42,66,96,59,27,68
523,Gen,94,89,70,54,76,73
524,Edith,78,90,85,91,61,48
525,Louis,38,78,94,50,34,55
526,Heide,37,91,66,81,58,75
527,Tally,29,83,83,91,71,31
528,Morty,93,46,59,59,60,57
529,Shellie,95,43,70,83,47,53
530,Desiri,65,60,34,51,75,66
531,Silvie,68,59,52,72,60,74
532,Zorine,100,63,97,69,99,41
533,Wilow,96,59,87,98,43,97
534,Kelci,96,83,69,31,39,71
535,Bonita,50,33,69,52,30,62
536,Odette,46,44,68,99,34,38
537,Melinda,42,97,74,45,64,62
538,Kizzee,34,92,50,42,55,73
539,Scott,32,82,52,95,41,73
540,Fara,45,91,30,33,83,36
541,Kym,66,40,91,77,67,38
542,Ivor,80,49,37,52,87,36
543,Sheffy,29,59,73,45,82,77
544,Jillana,68,33,36,55,45,71
545,Karlene,69,50,40,72,91,57
546,Aretha,59,35,56,45,91,38
547,Rachel,52,55,81,30,31,32
548,Guenevere,61,98,72,92,27,86
549,Violet,59,45,90,54,30,59
550,Chad,56,91,36,97,29,87
551,Alyssa,51,30,58,64,79,45
552,Kipp,43,81,27,40,100,42
553,Joellen,64,64,88,40,34,64
554,Adiana,100,52,82,94,31,28
555,Richardo,43,70,56,66,72,83
556,Cilka,67,38,57,37,29,100
557,Munroe,66,68,28,82,40,91
558,Rozanne,66,27,79,95,69,56
559,Bard,58,40,43,90,66,71
560,Aldric,89,31,38,53,74,35
561,Alexander,83,80,81,71,46,58
562,Myna,88,83,90,42,64,74
563,Lew,28,60,53,48,80,75
564,Tad,78,84,80,79,63,83
565,Partha,59,57,70,90,43,63
566,Efram,54,72,87,41,53,33
567,Hermione,36,97,65,93,74,84
568,Keeley,65,79,81,70,27,33
569,Eddie,92,50,56,60,43,29
570,Corey,99,41,61,88,94,75
571,Madel,63,78,46,66,96,34
572,Roxanna,31,94,64,46,78,43
573,Clayton,31,47,61,94,98,82
574,Clarette,93,54,50,39,78,51
575,Way,73,76,39,100,80,73
576,Meggy,89,98,27,86,68,69
577,Scott,71,81,51,96,72,98
578,Jennilee,33,42,87,71,96,65
579,Sterling,42,87,96,55,45,74
580,Leola,60,80,35,44,83,56
581,Leanora,47,70,74,47,94,66
582,Karolina,72,95,63,93,95,96
583,Mei,34,86,44,96,28,57
584,Leelah,50,42,29,64,55,92
585,Andre,39,77,59,37,37,82
586,Barnebas,32,40,94,95,56,29
587,Pace,32,55,31,30,33,58
588,Ailene,75,39,72,60,93,88
589,Michelle,27,64,74,41,40,27
590,Cassaundra,42,73,80,44,47,63
591,Gwendolyn,66,66,45,47,28,100
592,Darla,41,66,39,93,65,44
593,Cammy,61,83,99,87,83,55
594,Tandy,97,30,53,35,71,41
595,Buck,100,87,39,27,52,65
596,Georgianna,100,74,33,53,57,65
597,Cammy,51,37,73,44,61,77
598,Amara,30,78,84,74,96,95
599,Ephram,94,71,82,49,48,68
600,Claudine,94,93,89,55,69,87
601,Moina,57,71,89,80,86,37
602,Bernardo,76,89,57,77,96,48
603,Meredith,41,100,58,54,72,49
604,Bernie,80,39,37,64,40,48
605,Maximilian,87,53,52,97,41,81
606,Gerty,36,44,92,50,64,76
607,Sally,31,78,92,100,61,39
608,Alex,69,67,66,64,29,27
609,Neille,81,32,60,76,56,52
610,Caitlin,86,67,67,31,49,63
611,Bambi,47,73,45,52,73,41
612,Jenifer,55,77,70,71,59,42
613,Washington,100,58,78,91,73,58
614,Phaedra,62,29,74,91,52,42
615,Gertrudis,100,31,56,83,90,30
616,Deena,73,54,56,83,62,48
617,Adriana,59,86,36,45,84,79
618,Kaylyn,77,40,66,61,76,71
619,Kirbee,89,81,34,73,43,46
620,Augustine,41,61,52,47,77,36
621,Susie,83,62,96,42,95,49
622,Conney,34,42,96,59,28,90
623,Mason,64,61,58,77,32,49
624,Stearne,97,59,52,51,99,62
625,Neilla,28,55,52,65,67,30
626,Wally,47,81,37,47,65,40
627,Marten,97,93,51,31,97,30
628,Carlotta,70,53,27,79,80,46
629,Leora,77,64,61,67,53,72
630,Diana,46,44,69,40,63,39
631,Laurena,49,31,28,73,67,58
632,Constantinos,44,66,92,88,45,32
633,Robena,61,68,27,99,74,82
634,Debee,86,100,53,84,77,42
635,Moreen,75,81,44,47,31,77
636,Guthrey,41,92,67,69,45,45
637,Josepha,59,98,64,53,34,97
638,Shaine,85,70,89,44,96,63
639,Darcey,79,49,79,43,35,44
640,Karna,53,56,91,43,76,34
641,Marie-Ann,55,83,92,71,48,28
642,Patricio,45,82,40,30,67,98
643,Thibaud,54,33,30,85,79,73
644,Carina,99,99,89,66,58,59
645,Zandra,33,45,30,40,70,56
646,Crista,96,40,30,88,96,50
647,Meghan,93,72,46,74,71,36
648,Hastings,60,27,79,73,29,98
649,Antonietta,29,61,80,41,39,47
650,Jeffie,68,95,97,100,89,87
651,Stevy,82,78,93,34,54,47
652,Fanni,50,81,89,46,79,68
653,Roddie,81,64,52,96,31,37
654,Tracee,86,65,54,96,62,32
655,Hailee,62,40,37,59,100,40
656,Haskell,35,85,91,53,79,47
657,Heide,33,53,48,89,85,69
658,Serge,97,45,59,78,43,54
659,Daisie,39,66,38,70,75,38
660,Maribelle,62,39,63,51,72,27
661,Henrietta,31,65,28,50,96,44
662,Richy,83,58,57,70,27,89
663,Aristotle,99,78,79,99,43,93
664,Ronica,27,53,89,40,48,67
665,Devinne,96,66,93,99,88,70
666,Bryant,50,82,41,64,95,85
667,Bidget,97,36,29,59,41,91
668,Augustine,47,98,98,42,88,75
669,Cristi,95,79,52,53,92,94
670,Lyndsey,80,100,52,74,52,89
671,Maye,37,85,95,30,83,46
672,Fay,50,49,47,83,63,36
673,Ines,72,60,97,84,98,60
674,Barth,50,97,84,77,30,47
675,Candra,35,82,54,39,52,84
676,Philis,87,44,70,48,57,51
677,Jeramie,56,39,45,81,39,43
678,Templeton,59,28,62,93,39,79
679,Kane,93,54,62,42,34,96
680,Chickie,80,29,75,51,77,93
681,Kary,29,46,67,78,97,32
682,Poul,99,45,68,43,36,60
683,Esme,93,100,90,68,30,60
684,Marnia,73,85,65,74,75,96
685,Samara,58,74,89,35,50,71
686,Kirby,49,63,87,39,100,32
687,Bertie,46,28,100,30,35,69
688,Lucky,78,82,76,84,94,78
689,Hatty,77,78,93,61,67,40
690,Yigal,33,86,53,30,80,47
691,Vivian,55,45,98,59,53,39
692,Oral,52,57,90,32,51,60
693,Charlie,92,32,31,36,96,55
694,Noreen,58,48,99,36,37,34
695,Laraine,87,35,31,76,66,35
696,Dave,63,65,74,33,37,75
697,Calhoun,30,42,66,28,75,86
698,Jaime,100,84,77,66,32,33
699,Daryl,77,48,50,31,94,73
700,Murielle,89,71,97,100,92,28
701,Britt,57,89,51,79,32,58
702,Olia,72,98,32,73,40,62
703,Constantine,41,84,63,35,84,95
704,Lynnett,40,48,29,43,72,49
705,Virgilio,38,80,75,77,67,63
706,Claudetta,45,27,33,99,52,71
707,Bobine,65,99,59,56,79,35
708,Dawna,42,41,55,93,52,96
709,Husein,73,88,34,82,94,82
710,Easter,33,68,93,44,67,34
711,Delilah,89,99,50,76,95,38
712,Aleta,63,76,77,34,53,98
713,Jacquelin,83,59,33,30,75,92
714,Standford,71,54,87,29,64,50
715,Dasya,41,67,88,79,76,47
716,Quent,75,60,36,52,39,83
717,Aeriel,41,67,78,45,92,34
718,Bennet,30,63,45,42,87,83
719,Prasad,97,88,27,93,68,75
720,Amory,58,86,37,77,79,57
721,Hester,92,93,87,52,44,59
722,Osmund,42,95,40,62,80,52
723,Miguel,72,90,62,44,45,27
724,Alta,33,76,55,41,59,69
725,Jud,92,49,51,92,92,38
726,Andra,75,70,53,43,51,44
727,Lauralee,50,83,62,93,65,78
728,Diane,49,37,95,56,67,79
729,Cooper,98,50,34,86,72,54
730,Violante,29,60,76,83,73,62
731,Hildagarde,91,82,97,88,28,34
732,Elenore,40,44,38,78,41,47
733,Kelcy,86,81,42,40,43,64
734,Andrea,67,86,33,55,76,40
735,Jenica,87,43,32,92,91,38
736,Tanner,75,81,34,57,96,36
